Wall time,Step,Value
1628517617.0752778,0,0.08763251453638077
1628517647.402745,1,0.08218127489089966
1628517684.747724,2,0.056411441415548325
1628517723.5723956,3,0.03982090204954147
1628517762.9312685,4,0.03278697282075882
1628517802.4597008,5,0.029409237205982208
1628517841.6614594,6,0.02707056514918804
1628517880.797964,7,0.0252643171697855
1628517919.9310334,8,0.02398456446826458
1628517959.0166512,9,0.02287154830992222
1628517998.1813838,10,0.02233942598104477
1628518037.768337,11,0.021654097363352776
1628518077.7614245,12,0.02117105759680271
1628518117.0377042,13,0.020894929766654968
1628518156.442305,14,0.020490482449531555
1628518196.5492811,15,0.02033334970474243
1628518235.6591015,16,0.020079171285033226
1628518274.9730039,17,0.019866112619638443
1628518314.9977148,18,0.019652212038636208
1628518354.9447696,19,0.019528547301888466
1628518394.0433085,20,0.01926685869693756
1628518432.9724145,21,0.019319038838148117
1628518472.6536074,22,0.01921786554157734
1628518512.563762,23,0.018909113481640816
1628518552.0041773,24,0.01891394890844822
1628518592.208227,25,0.018672799691557884
1628518631.5948853,26,0.018588954582810402
1628518671.5293357,27,0.018397802487015724
1628518710.939781,28,0.01827750727534294
1628518750.1405087,29,0.018128527328372
1628518789.422556,30,0.017991360276937485
1628518828.807846,31,0.0179396104067564
1628518868.3964431,32,0.01765209063887596
1628518907.7418215,33,0.017609985545277596
1628518947.0351064,34,0.01729498617351055
1628518986.5489113,35,0.017209984362125397
1628519025.9301243,36,0.016984475776553154
1628519065.4327986,37,0.01691962406039238
1628519105.3068347,38,0.016596773639321327
1628519144.8945785,39,0.016461370512843132
1628519184.5057473,40,0.016173912212252617
1628519223.8839989,41,0.016124136745929718
1628519263.4354024,42,0.015940653160214424
1628519303.386132,43,0.015611679293215275
1628519342.7574043,44,0.015535653568804264
1628519382.7488976,45,0.015119476243853569
1628519422.023011,46,0.014995775185525417
1628519462.0912974,47,0.014920402318239212
1628519501.3858373,48,0.014641334302723408
1628519540.9498136,49,0.014365879818797112
1628519580.447124,50,0.014129613526165485
1628519620.1132379,51,0.013863924890756607
1628519659.4481876,52,0.013939972035586834
1628519699.3097928,53,0.013730556704103947
1628519739.3042367,54,0.013443280942738056
1628519778.7680855,55,0.013070106506347656
1628519818.6687136,56,0.013183925300836563
1628519858.3868814,57,0.01319748256355524
1628519898.0492694,58,0.012931913137435913
1628519938.0703623,59,0.012953510507941246
1628519978.1213005,60,0.012665808200836182
1628520017.7501054,61,0.012751972302794456
1628520057.285868,62,0.01237680297344923
1628520097.5253723,63,0.012190759181976318
1628520137.2656488,64,0.01216009072959423
1628520177.0140078,65,0.012310679070651531
1628520216.4092033,66,0.012129602022469044
1628520255.9060657,67,0.012186591513454914
1628520295.0942252,68,0.01173455361276865
1628520334.6723418,69,0.01148935779929161
1628520373.9589212,70,0.011801430955529213
1628520413.6968827,71,0.011280765756964684
1628520453.0098479,72,0.011257626116275787
1628520493.148629,73,0.011048710905015469
1628520532.3869693,74,0.011057687923312187
1628520571.4047046,75,0.011010448448359966
1628520610.5269952,76,0.011009838432073593
1628520649.7682092,77,0.010762130841612816
1628520688.9935858,78,0.010627667419612408
1628520728.6623192,79,0.010597748681902885
1628520767.82011,80,0.010378082282841206
1628520807.086401,81,0.01025417074561119
1628520846.324042,82,0.010322426445782185
1628520885.4816945,83,0.010028649121522903
1628520925.0014756,84,0.01014542393386364
1628520964.3063285,85,0.010261007584631443
1628521003.4769914,86,0.0101729491725564
1628521043.0861318,87,0.009990793652832508
1628521083.0640798,88,0.01006342377513647
1628521122.4377882,89,0.010022143833339214
1628521161.6986005,90,0.010334751568734646
1628521201.032241,91,0.009783499874174595
1628521240.8232586,92,0.00962225254625082
1628521280.3897822,93,0.009453591890633106
1628521319.77978,94,0.009478828869760036
1628521359.646475,95,0.009322501718997955
1628521399.0248713,96,0.009405416436493397
1628521438.3770819,97,0.009578957222402096
1628521477.958785,98,0.009736876003444195
1628521517.1674407,99,0.009670808911323547
1628521556.6186306,100,0.009572762064635754
1628521595.9529889,101,0.009190712124109268
1628521635.566589,102,0.008928384631872177
1628521675.5769324,103,0.008850010111927986
1628521714.7142546,104,0.009109970182180405
1628521754.128788,105,0.008907622657716274
1628521793.3993304,106,0.009606853127479553
1628521832.8067918,107,0.009494178928434849
1628521872.9061434,108,0.009227387607097626
1628521913.42538,109,0.009093650616705418
1628521952.8278553,110,0.009034278802573681
1628521992.128493,111,0.00899465661495924
1628522031.7435946,112,0.008522771298885345
1628522070.7159188,113,0.008461276069283485
1628522110.2702842,114,0.008541971445083618
1628522149.9218645,115,0.008909100666642189
1628522189.1336024,116,0.008889597840607166
1628522228.2498016,117,0.008541258051991463
1628522267.6103153,118,0.008242924697697163
1628522306.9844728,119,0.008354214020073414
1628522346.272966,120,0.008642247878015041
1628522385.6604922,121,0.008482935838401318
1628522425.0702782,122,0.0082692950963974
1628522464.223828,123,0.00813266634941101
1628522503.4756398,124,0.0078417444601655
1628522542.952631,125,0.007741149049252272
1628522582.2829392,126,0.008038741536438465
1628522621.4235153,127,0.008190279826521873
1628522660.6732984,128,0.007974405772984028
1628522699.9556553,129,0.007897588424384594
1628522739.080876,130,0.008055984042584896
1628522778.5433524,131,0.008058012463152409
1628522818.0645177,132,0.008062303066253662
1628522857.8642862,133,0.007807761896401644
1628522897.3704405,134,0.007887475192546844
1628522936.8210478,135,0.007886335253715515
1628522976.4739792,136,0.007594934664666653
1628523016.0267978,137,0.0073659177869558334
1628523055.198061,138,0.00751488097012043
1628523094.5010087,139,0.007677409797906876
1628523133.5744243,140,0.008166552521288395
1628523172.6963384,141,0.00808356050401926
1628523211.589381,142,0.007803358603268862
1628523250.9289265,143,0.007508811075240374
1628523291.0604808,144,0.007423240225762129
1628523330.6250854,145,0.007683055475354195
1628523369.8123455,146,0.007639091461896896
1628523409.424355,147,0.007593225687742233
1628523448.8504667,148,0.00782401766628027
1628523487.976282,149,0.007276130374521017
1628523527.2342534,150,0.007180264685302973
1628523566.7024634,151,0.007124972064048052
1628523605.8055272,152,0.007221014238893986
1628523645.1598566,153,0.007414262741804123
1628523684.1714246,154,0.007143124006688595
1628523723.3633873,155,0.007455006241798401
1628523762.9314995,156,0.007199977524578571
1628523802.7898047,157,0.007274264004081488
